TimePeriod,0.50,1.00,2.00,5.00,10.00
1990-01-05,0.0790000,0.0782000,0.0791000,0.0791000,0.0798000
1990-01-12,0.0782000,0.0778000,0.0791000,0.0794000,0.0804000
1990-01-19,0.0801000,0.0797000,0.0816000,0.0817000,0.0824000
1990-01-26,0.0800000,0.0801000,0.0822000,0.0827000,0.0836000
1990-02-02,0.0813000,0.0809000,0.0831000,0.0839000,0.0847000
1990-02-09,0.0816000,0.0813000,0.0837000,0.0844000,0.0848000
1990-02-16,0.0805000,0.0805000,0.0830000,0.0836000,0.0839000
1990-02-23,0.0816000,0.0819000,0.0848000,0.0853000,0.0858000
1990-03-02,0.0814000,0.0814000,0.0843000,0.0844000,0.0850000
1990-03-09,0.0826000,0.0834000,0.0859000,0.0859000,0.0861000
1990-03-16,0.0832000,0.0842000,0.0870000,0.0868000,0.0865000
1990-03-23,0.0831000,0.0835000,0.0866000,0.0860000,0.0855000
1990-03-30,0.0827000,0.0834000,0.0861000,0.0857000,0.0856000
1990-04-06,0.0820000,0.0829000,0.0857000,0.0859000,0.0859000
1990-04-13,0.0821000,0.0829000,0.0855000,0.0860000,0.0862000
1990-04-20,0.0825000,0.0841000,0.0875000,0.0879000,0.0883000
1990-04-27,0.0838000,0.0857000,0.0895000,0.0901000,0.0902000
1990-05-04,0.0842000,0.0856000,0.0894000,0.0901000,0.0902000
1990-05-11,0.0817000,0.0836000,0.0868000,0.0879000,0.0881000
1990-05-18,0.0810000,0.0824000,0.0856000,0.0867000,0.0868000
1990-05-25,0.0815000,0.0822000,0.0854000,0.0864000,0.0866000
1990-06-01,0.0810000,0.0818000,0.0846000,0.0852000,0.0858000
1990-06-08,0.0802000,0.0808000,0.0833000,0.0841000,0.0846000
1990-06-15,0.0803000,0.0805000,0.0831000,0.0839000,0.0844000
1990-06-22,0.0807000,0.0814000,0.0841000,0.0847000,0.0852000
1990-06-29,0.0807000,0.0813000,0.0836000,0.0845000,0.0851000
