Price,Yield,MacDur
96.04721763,0.059358655,4.273512078
96.05689842,0.059335159,4.273592503
96.38585071,0.058538444,4.276319833
96.60700846,0.05800461,4.27814746
96.93574005,0.057213778,4.280855234
97.59931119,0.055627038,4.286289224
98.0474554,0.054562627,4.28993523
98.00130105,0.054671984,4.28956061
98.72457875,0.052965213,4.295408176
99.47401411,0.051212229,4.301415808
99.98567274,0.050024357,4.305487757
99.33014064,0.051547547,4.300266506
99.38118986,0.051428504,4.300674519
99.51972331,0.051105817,4.301780549
99.31187283,0.051590164,4.300120442
99.48127644,0.051195318,4.301473771
100.0427365,0.049892323,4.305940414
100.1332533,0.049683066,4.306657833
99.7893427,0.050479308,4.303928117
100.1691702,0.049600095,4.306942299
99.94427565,0.050120198,4.305159191
99.15861018,0.051948074,4.298893786
98.79635613,0.052796641,4.295985811
99.07949022,0.052133097,4.298259692
98.940728,0.052458015,4.297146206
99.5094703,0.051129681,4.301698751
99.53891272,0.051061161,4.301933615
100.1475166,0.049650113,4.306770814
100.1906345,0.049550528,4.307112243
100.3137475,0.049266466,4.308086189
99.66305023,0.050772522,4.302923
99.40597743,0.051370727,4.300872549
99.49723575,0.051158161,4.301601131
99.80622468,0.050440147,4.304062364
100.2390344,0.049438804,4.307495297
100.8785824,0.047968461,4.312537179
101.3471082,0.046898268,4.316207723
101.7740564,0.045928117,4.319535728
101.4587088,0.046644214,4.317079175
101.163231,0.047317578,4.314769496
101.5137504,0.046519036,4.317508575
101.6379988,0.046236757,4.318476907
101.9321634,0.045570069,4.320764115
101.6259382,0.04626414,4.318382971
101.0597462,0.047553958,4.313958761
100.148593,0.049647626,4.306779339
100.112659,0.049730656,4.306494671
100.1115474,0.049733225,4.306485863
99.72659317,0.050624939,4.303428897
99.68317579,0.050725767,4.303083269
99.85181891,0.050334419,4.304424805
99.51671643,0.051112815,4.301756561
99.60322921,0.050911562,4.302446398
99.68202366,0.050728444,4.303074095
99.38955678,0.051409,4.300741369
100.1632871,0.049613683,4.306895711
100.0389033,0.049901189,4.305910017
100.0819702,0.049801595,4.306251464
99.67503451,0.050744679,4.303018441
98.73167101,0.05294855,4.295465273
98.55784424,0.053357355,4.294064511
97.70890616,0.0553662,4.287182632
97.11813144,0.056776365,4.28235307
96.65056599,0.057899641,4.27850685
96.40273667,0.058497633,4.276459547
96.03212947,0.05939528,4.273386712
95.26602728,0.061263915,4.266991409
94.12630841,0.06407702,4.257367327
94.12439631,0.064081773,4.257351068
93.57622175,0.065449237,4.252674314
93.72034991,0.06508878,4.253906984
92.90474011,0.067137287,4.246902534
92.02192422,0.069378746,4.239240894
93.32872503,0.066069749,4.250552482
93.00634846,0.066880926,4.247778987
93.1177766,0.066600169,4.248738881
93.75777521,0.064995289,4.254226712
93.32962533,0.066067488,4.250560212
92.8834379,0.067191076,4.246718645
92.35993325,0.068517546,4.242184288
92.13268383,0.069096133,4.240206759
92.05385137,0.06929724,4.239519448
92.60338695,0.067899571,4.244296634
92.35572221,0.068528252,4.242147694
92.83067513,0.067324365,4.24626297
92.07212495,0.069250604,4.239678828
92.29702347,0.068677548,4.241637406
92.21986892,0.068873956,4.240966107
92.56965241,0.067985087,4.244004315
92.1044903,0.069168033,4.239961027
91.70902541,0.070179318,4.236505066
91.23613593,0.071395402,4.232349934
90.92152568,0.072208604,4.229571809
90.41424608,0.073526872,4.225068971
90.71883953,0.072734276,4.227776153
90.44911418,0.07343598,4.225379405
89.83092882,0.07505363,4.219855115
89.52255725,0.075865515,4.217083028
89.21160038,0.076687577,4.214276543
89.03856027,0.077146509,4.212709916
88.98223842,0.077296113,4.212199247
88.75739371,0.077894474,4.210156865
88.90247417,0.077508177,4.211475388
88.7353668,0.07795319,4.209956463
88.69988577,0.078047805,4.209633533
88.61283988,0.078280116,4.208840656
88.44046543,0.078740955,4.207267893
88.67644531,0.078110337,4.209420109
88.94762394,0.077388112,4.211885213
88.92108043,0.07745869,4.211644306
89.67499428,0.075463763,4.218454723
89.94102182,0.074764577,4.220842136
90.2119506,0.074055027,4.223265193
90.8760322,0.072326472,4.22916917
91.3816094,0.071020508,4.233630796
91.06851743,0.071828246,4.230871174
91.96286183,0.069529613,4.238725302
91.74250088,0.070093514,4.236798271
91.73868571,0.070112881,4.234048393
91.93112888,0.069620067,4.235731845
92.21219116,0.068902508,4.238183255
92.65858343,0.06776817,4.242059073
92.53057004,0.068092804,4.240949789
92.96449767,0.066994537,4.24470282
94.12665368,0.064082794,4.254656041
94.16537827,0.063986504,4.254985264
94.64556678,0.062796392,4.25905481
95.87972337,0.059770128,4.269406488
95.96289456,0.059567844,4.270098601
95.96224753,0.059569417,4.270093219
96.37610801,0.058565919,4.273527024
96.00279389,0.059470877,4.270430382
96.41594247,0.0584696,4.273856639
96.58891815,0.058051895,4.275286145
95.35739251,0.061045271,4.265044102
94.95140121,0.062042123,4.261634402
95.03646129,0.061832853,4.262350157
94.83437144,0.062330409,4.260648429
94.33595983,0.063562909,4.256433645
94.65733537,0.062767314,4.25915425
95.47393868,0.060760037,4.266019837
95.83735959,0.059873242,4.269053691
95.96484818,0.059563095,4.27011485
95.88178814,0.059765104,4.269423678
95.46583764,0.06077985,4.265952059
96.11921193,0.05918822,4.271397547
96.28506302,0.05878624,4.272773073
96.49023382,0.058290092,4.274470957
96.45385506,0.058377972,4.274170208
96.84053083,0.057445872,4.277360299
96.92694511,0.057238168,4.278071227
97.01340585,0.057030571,4.278781812
97.05063582,0.056941248,4.279087566
97.50841777,0.055846218,4.282836208
97.92448188,0.054856238,4.286225814
97.67436004,0.055450779,4.284190092
97.64440975,0.055522092,4.283945929
98.15739804,0.054304207,4.288116161
98.36754726,0.053807462,4.289817336
98.16334644,0.054290129,4.288164371
98.7692848,0.052861327,4.293057904
98.55510301,0.053365181,4.291332111
98.86798785,0.052629566,4.293851775
98.92806649,0.052488632,4.294334547
99.22945501,0.051783147,4.296751356
97.86216706,0.055004193,4.285719195
97.30376912,0.056334992,4.281162895
97.04777411,0.056948112,4.279064069
95.58750143,0.060482501,4.266969283
95.50167702,0.060692211,4.266251864
95.50525693,0.060678495,4.268994769
95.25688729,0.061286316,4.266914754
94.12809416,0.064072581,4.25738251
94.54084589,0.063049197,4.260883174
94.58086026,0.062950266,4.261221615
93.9737098,0.06445673,4.256068606
93.61820414,0.065344173,4.253033597
94.13579044,0.06405345,4.257447946
94.17587635,0.063953837,4.257788665
93.61029588,0.06536396,4.252965933
93.28528239,0.066178867,4.250179375
92.73500066,0.067566288,4.245435937
92.8952429,0.067161266,4.246820556
93.28715865,0.066174153,4.250195493
93.39804874,0.065895747,4.251147457
92.92389933,0.067088922,4.247067881
93.44286409,0.065783343,4.251531817
93.32109687,0.066088905,4.250486982
93.71853182,0.065093323,4.253891448
94.68926372,0.062682499,4.262137666
94.57146506,0.06297349,4.261142166
94.29474677,0.063658741,4.258798053
93.405977,0.065875857,4.251215469
92.88021099,0.067199225,4.246690785
93.2408645,0.066290497,4.249797685
93.44038977,0.065789547,4.251510602
93.88539227,0.064676824,4.255315856
94.41263607,0.063366515,4.25979767
94.61617875,0.062862986,4.261520202
94.69996099,0.062656095,4.262227997
94.65667387,0.062762961,4.261862396
95.22438946,0.061365985,4.266642136
95.62400063,0.060388561,4.26998702
95.94920055,0.059596703,4.27269726
96.07033702,0.059302548,4.273704132
96.23337396,0.058907339,4.275056982
96.15324751,0.05910147,4.274392436
95.58319928,0.060488137,4.269646234
95.21504729,0.061388894,4.266563746
95.33319205,0.061099381,4.267554443
94.93222527,0.062083677,4.264186424
94.48912557,0.063177143,4.260445481
94.48501704,0.06318731,4.2604107
94.44188549,0.063294078,4.260045463
94.36551511,0.063483267,4.25939829
95.01269007,0.061885758,4.264863614
95.25466029,0.061291775,4.266896076
95.29842697,0.061184528,4.267263068
94.56162655,0.062997813,4.261058958
94.11302008,0.064110056,4.25725433
93.95596503,0.064500932,4.255917429
93.47345883,0.065706643,4.251794093
93.14282339,0.066537116,4.248954464
92.78931606,0.06742891,4.245905573
92.67016622,0.067730397,4.244874936
92.66806549,0.067735717,4.244856751
92.62756125,0.067838313,4.244506036
93.30024069,0.066141288,4.250307867
93.49648505,0.065648936,4.251991422
93.61994315,0.065339822,4.253048476
93.46972057,0.065716013,4.251762052
93.38796881,0.065921038,4.251060977
93.86784218,0.06472059,4.255166176
94.18866839,0.06392206,4.257897359
94.63170498,0.062824629,4.261651423
94.47703162,0.063207073,4.260343094
94.56031611,0.063001052,4.261047874
95.20028087,0.061425108,4.266439824
95.23988947,0.061327983,4.266772176
95.43570586,0.060848515,4.268412927
95.80462289,0.059948355,4.27149364
95.19179887,0.061445914,4.266368632
95.11093518,0.061644372,4.265689552
95.31766443,0.061137407,4.267424317
