Price,Yield,MacDur
110.955852,0.079058595,5.000192037
110.7542229,0.079419103,4.997631321
109.513937,0.081655233,4.981747304
108.9489562,0.082684568,4.974435287
108.3206712,0.08383726,4.966246827
108.1116401,0.084222654,4.963509044
108.5638536,0.083390093,4.969423419
107.6004796,0.085169109,4.956785512
108.0534273,0.084330151,4.962745397
107.2972192,0.085733338,4.952777255
106.8875362,0.086498814,4.947339328
107.3349715,0.085662988,4.953277024
107.4375373,0.085472018,4.954633668
107.3438178,0.085646507,4.953394101
107.2690674,0.085785819,4.952404433
106.2185296,0.087756921,4.93840173
105.113871,0.089856644,4.923485372
105.117669,0.089849377,4.923536999
106.2850071,0.087631454,4.939293053
106.9448429,0.086391513,4.94810159
107.0835032,0.086132191,4.949943816
107.6432697,0.08508966,4.957349917
108.2670629,0.083936008,4.965545338
108.376764,0.083734002,4.966980352
107.9311885,0.084556121,4.961140131
108.0344263,0.084365255,4.962496025
108.4992647,0.083508735,4.968580608
108.0935585,0.084256036,4.963271903
108.6837539,0.083170088,4.970986279
108.723037,0.083098075,4.971497843
109.6026882,0.081494153,4.982891544
108.1718969,0.08411146,4.964298951
108.078204,0.084284389,4.963070486
106.87,0.086531663,4.947105966
107.1657636,0.08597855,4.951035277
107.5262272,0.085307071,4.95580544
107.5753133,0.085215855,4.956453435
107.2706239,0.085782917,4.952425049
106.9929331,0.086301527,4.948740856
108.3746598,0.083737874,4.966952845
107.5753601,0.085215768,4.956454053
108.2481749,0.083970815,4.965298073
108.781798,0.082990418,4.972262615
108.8888848,0.082794412,4.973654987
109.4206789,0.081824672,4.980543679
110.1926564,0.080427589,4.990467812
110.4183508,0.080021492,4.993352435
110.5531348,0.079779476,4.99507153
111.2646798,0.078508032,5.004102677
112.1990249,0.076854089,5.01585013
111.970832,0.077256408,5.012992653
111.4164894,0.078238105,5.006019934
112.3459451,0.07659561,5.017685965
111.5107203,0.078070792,5.007208329
111.5617607,0.077980242,5.007851491
112.1720221,0.076901643,5.015512384
112.4446557,0.076422187,5.018917675
