Price,Yield,MacDur
100.246463,0.079611,6.661697
99.899774,0.080125,6.654532
98.508090,0.082214,6.625431
97.761380,0.083350,6.609588
97.037308,0.084463,6.594069
96.911431,0.084657,6.591355
97.482979,0.083777,6.603639
96.274133,0.085648,6.577543
96.790755,0.084844,6.588749
96.014856,0.086053,6.571889
95.680323,0.086578,6.564563
96.280898,0.085637,6.577691
96.279506,0.085639,6.577660
96.125396,0.085880,6.574302
95.971277,0.086121,6.570937
94.664627,0.088187,6.542108
93.442983,0.090154,6.511989
93.446022,0.090149,6.512057
94.789333,0.087989,6.542205
95.601588,0.086703,6.560158
95.738882,0.086487,6.563173
96.292793,0.085619,6.575275
97.062981,0.084424,6.591949
97.193745,0.084222,6.594763
96.665970,0.085038,6.583377
96.754223,0.084901,6.585286
97.244544,0.084144,6.595854
96.696375,0.084991,6.584035
97.201857,0.084209,6.594937
97.180448,0.084242,6.594477
98.008475,0.082973,6.612178
95.957029,0.086144,6.567950
95.965002,0.086132,6.568125
94.605666,0.088282,6.538117
94.891248,0.087827,6.544469
95.162299,0.087397,6.550474
95.221599,0.087303,6.551785
94.772071,0.088017,6.541822
94.501754,0.088448,6.535800
96.180531,0.085795,6.572830
95.115163,0.087472,6.549432
95.914824,0.086210,6.567027
96.546009,0.085225,6.580777
96.600163,0.085141,6.581951
97.285092,0.084081,6.596725
98.363506,0.082433,6.619706
98.667817,0.081972,6.626129
98.765063,0.081825,6.628176
99.617926,0.080545,6.646015
100.854942,0.078713,6.671526
100.504353,0.079229,6.664339
99.761400,0.080331,6.648995
100.806077,0.078785,6.670527
99.689506,0.080438,6.647502
99.845054,0.080206,6.650731
100.577291,0.079122,6.665837
100.774347,0.078831,6.669877
102.153751,0.076821,6.697863
102.402228,0.076462,6.702851
101.787566,0.077351,6.690484
100.828356,0.078752,6.670982
100.157696,0.079742,6.657199
100.473996,0.079274,6.663715
99.629958,0.080527,6.646265
100.136734,0.079773,6.656766
100.665825,0.078991,6.667653
100.627373,0.079048,6.666865
100.822050,0.078761,6.670853
100.292099,0.079543,6.659971
100.840597,0.078734,6.671233
100.561890,0.079144,6.665521
100.218955,0.079651,6.658463
100.431274,0.079337,6.662836
100.662398,0.078996,6.667583
99.625447,0.080534,6.646171
98.864972,0.081674,6.630277
98.915659,0.081598,6.631341
98.899310,0.081623,6.630998
99.056268,0.081386,6.634290
98.851908,0.081694,6.630002
99.126974,0.081280,6.635771
99.342068,0.080957,6.640267
99.917033,0.080099,6.652222
101.265706,0.078111,6.679905
102.077232,0.076931,6.696324
102.519634,0.076293,6.705202
102.307018,0.076599,6.700942
102.603017,0.076173,6.706869
103.269342,0.075220,6.720128
103.921783,0.074294,6.733000
104.357965,0.073680,6.741545
105.149742,0.072572,6.756933
105.033848,0.072734,6.754691
104.934724,0.072872,6.752770
103.889170,0.074340,6.732359
104.959534,0.072837,6.753251
105.326697,0.072326,6.760351
106.041894,0.071337,6.774087
106.125519,0.071222,6.775685
105.954812,0.071457,6.772421
107.235125,0.069706,6.796728
107.649593,0.069145,6.804513
108.188045,0.068420,6.814566
110.108383,0.065873,6.849879
